country_code,indicator_code,date,frequency,source_count,min_value,max_value,absolute_diff,relative_diff,status
FR,CPI_YOY_M,2016-09,M,2,0.3901951,0.5,0.10980489999999998,0.24669850463117576,warning
FR,CPI_YOY_M,2016-10,M,2,0.359964,0.5,0.140036,0.32567874934299573,warning
FR,CPI_YOY_M,2016-11,M,2,0.5309557,0.7,0.16904429999999993,0.2746553754940164,warning
FR,CPI_YOY_M,2016-12,M,2,0.6097561,0.8,0.19024390000000002,0.2698961898444703,warning
FR,CPI_YOY_M,2017-01,M,2,1.34235,1.6,0.25765000000000016,0.1751321222832091,warning
FR,CPI_YOY_M,2017-03,M,2,1.14977,1.4,0.25022999999999995,0.19627652690242647,warning
FR,CPI_YOY_M,2017-04,M,2,1.168948,1.4,0.2310519999999998,0.17988063596460482,warning
FR,CPI_YOY_M,2017-06,M,2,0.6856802,0.8,0.11431980000000008,0.1538955691810392,warning
FR,CPI_YOY_M,2018-11,M,2,1.891067,2.2,0.3089330000000001,0.15102808142716806,warning
FR,CPI_YOY_M,2018-12,M,2,1.590574,1.9,0.309426,0.17729233071695372,warning
FR,CPI_YOY_M,2019-02,M,2,1.317342,1.6,0.2826580000000001,0.19377776071506192,warning
FR,CPI_YOY_M,2019-03,M,2,1.109489,1.3,0.1905110000000001,0.15813394458327065,warning
FR,CPI_YOY_M,2019-04,M,2,1.263117,1.5,0.23688299999999995,0.17146070904706529,warning
FR,CPI_YOY_M,2019-05,M,2,0.9384675,1.1,0.16153250000000008,0.1584842534894474,warning
FR,CPI_YOY_M,2019-06,M,2,1.170552,1.4,0.22944799999999987,0.17852041118016665,warning
FR,CPI_YOY_M,2019-07,M,2,1.065066,1.3,0.23493399999999998,0.1986701428205386,warning
FR,CPI_YOY_M,2019-08,M,2,1.040663,1.3,0.25933700000000015,0.22159277093712348,warning
FR,CPI_YOY_M,2019-09,M,2,0.9076864,1.1,0.19231360000000008,0.19157733000532365,warning
FR,CPI_YOY_M,2019-10,M,2,0.7620334,0.9,0.13796660000000005,0.16602145299847773,warning
FR,CPI_YOY_M,2020-03,M,2,0.6737896,0.8,0.12621040000000006,0.17127329436983416,warning
FR,CPI_YOY_M,2020-04,M,2,0.326233,0.4,0.07376700000000003,0.20314967785820812,warning
FR,CPI_YOY_M,2020-09,M,2,0.0,0.04784689,0.04784689,2.0,warning
FR,CPI_YOY_M,2020-10,M,2,0.04786521,0.1,0.05213479000000001,0.7051664147367729,warning
FR,CPI_YOY_M,2020-12,M,2,-0.01905125,0.0,0.01905125,2.0,warning
FR,CPI_YOY_M,2021-01,M,2,0.5548115,0.8,0.24518850000000003,0.3619521977780673,warning
FR,CPI_YOY_M,2021-02,M,2,0.5644313,0.8,0.23556870000000008,0.3452994665249911,warning
FR,CPI_YOY_M,2021-03,M,2,1.109093,1.4,0.2909069999999998,0.23188219806918262,warning
FR,CPI_YOY_M,2021-04,M,2,1.243305,1.6,0.356695,0.2509016795595267,warning
FR,CPI_YOY_M,2021-05,M,2,1.422978,1.8,0.37702199999999997,0.23395877973724918,warning
FR,CPI_YOY_M,2021-06,M,2,1.479149,1.9,0.42085099999999986,0.2490869742648222,warning
FR,CPI_YOY_M,2021-07,M,2,1.150299,1.5,0.34970100000000004,0.2638955076389495,warning
FR,CPI_YOY_M,2021-08,M,2,1.865068,2.4,0.534932,0.25084336287252634,warning
FR,CPI_YOY_M,2021-09,M,2,2.161645,2.7,0.5383550000000001,0.22147030480423813,warning
FR,CPI_YOY_M,2021-10,M,2,2.621759,3.2,0.5782410000000002,0.198648209243976,warning
FR,CPI_YOY_M,2021-11,M,2,2.778574,3.4,0.621426,0.20115515327646805,warning
FR,CPI_YOY_M,2021-12,M,2,2.75343,3.4,0.6465700000000001,0.21014946135732432,warning
FR,CPI_YOY_M,2023-01,M,2,5.993341,7.0,1.006659,0.1549499855348982,warning
FR,CPI_YOY_M,2023-02,M,2,6.278686,7.3,1.0213139999999994,0.15042898848975508,warning
FR,CPI_YOY_M,2023-03,M,2,5.701873,6.7,0.9981270000000002,0.1609639124670927,warning
FR,CPI_YOY_M,2023-04,M,2,5.884473,6.9,1.0155270000000005,0.15886880906236817,warning
FR,CPI_YOY_M,2023-05,M,2,5.119943,6.0,0.8800569999999999,0.15828444444364506,warning
FR,CPI_YOY_M,2023-06,M,2,4.53132,5.3,0.7686799999999998,0.15637371177013867,warning
FR,CPI_YOY_M,2023-07,M,2,4.288119,5.1,0.8118809999999996,0.17295924774707258,warning
